subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,9/23/2018,1/23/2017,1/24/2017,Public Policy Polling,B,1043,rv,.5317229,0,48,40,46.9636,39.83066,"","",http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,78153,1/25/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,1/30/2017,1/31/2017,Public Policy Polling,B,725,rv,.3583617,0,45,42,43.9636,41.83066,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf,49238,78151,2/1/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,2/2/2017,2/6/2017,McLaughlin & Associates,C-,1000,lv,.2985943,0,42.4,44,44.67081,41.39692,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79643,2/7/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,2/5/2017,2/6/2017,Emerson College,B+,617,rv,1.095338,0,48.1,46.3,47.41686,45.35624,"","",http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,78251,2/7/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,2/7/2017,2/8/2017,Public Policy Polling,B,712,rv,.3428439,0,49,41,47.9636,40.83066,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_21017.pdf,49287,78162,2/9/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,2/15/2017,2/20/2017,McLaughlin & Associates,C-,1000,lv,.2783082,0,43.5,43.8,45.77081,41.19692,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50467,79642,2/21/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,2/21/2017,2/22/2017,Public Policy Polling,B,941,rv,.4383947,0,46,43,44.9636,42.83066,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_22417.pdf,49324,78150,2/23/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,3/10/2017,3/12/2017,Public Policy Polling,B,808,rv,.3681866,0,46,41,44.9636,40.83066,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_31517.pdf,49488,78145,3/13/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,3/16/2017,3/20/2017,McLaughlin & Associates,C-,1000,lv,.2588915,0,42.9,44.6,45.17081,41.99692,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50466,79641,3/21/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,3/22/2017,3/27/2017,Marist College,A,906,rv,1.311625,0,47,38,47.1308,38.53578,"","",https://www.documentcloud.org/documents/3532285-McClatchy-Marist-Poll-National-Nature-of-the.html,49556,78147,3/28/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,3/27/2017,3/28/2017,Public Policy Polling,B,677,rv,.3078884,0,48,43,46.9636,42.83066,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_33017.pdf,49550,78152,3/29/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,3/30/2017,4/1/2017,Morning Consult,B-,1995,rv,.1562132,0,41,39,45.49991,41.0313,"","",https://morningconsult.com/wp-content/uploads/2017/04/170401_crosstabs_Politico_v3_AG-1.pdf,49577,78242,4/2/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/6/2017,4/9/2017,Morning Consult,B-,1988,rv,.1440247,0,43,40,47.49991,42.0313,"","",http://www.politico.com/f/?id=0000015b-5fbb-da80-afdf-dfff4d650002,49603,78241,4/10/2017,13:20:19 23 Sep 2018
